Reviewer_score,Visit_date,Reviewer_name,Number_of_reviewers_reviews,Trip_type,Review_object_name,Review_year,Review_day_of_week,Country,Review_combined,Number_of_words_in_review,Reviewer_gender
5,1/6/2014,MalmesburyDave,345   Reviews,friends,   areg hotel  ,2014,Saturday,uk,every visit sees improvements i make no excuses for once more offering a review for this charming and non pretentious armenian family run hotel it is not the ritz in london the waldorf in new york it is simply the areg  on arrival the normal warm and smiling greeting from one or other member of the family is the order of the day one feels instantly at home but not before you observe the results of the previous  winters programme of improvements two years ago it was the addition of rooms no 7  8 wonderful comfortable suites this year the rebuild of the lobbyreception yes the areg appears not to stand still yet retains all that is best in small hotels it is clear that it has become and justly so a very popular base for the visiting diaspora it is not unusual to hear a multitude of languages as the guests pass through the hotel to their roomswifi air con exceptional staff typical but filling armenian breakfasts spotlessly clean rooms all justify the tripadvisor certificate that is proudly on show at the reception desk areg is a true 5 star budget hotel that will never disappoint any form of traveller a stopover is a real joy and exceptional value for money,212,unknown
4,1/5/2014,DENXIL,93   Reviews,solo,   areg hotel  ,2014,Saturday,uk,nice suburban location i stayed in room 3 for a few nights last week originally i booked due to its location being right by the main train station and metro the location is super safe as is everywhere in armenia and the staff are friendly and accommodating the hotel is two stops away from the main city square and you buy tokens for 100 dram at the station to get to downtown yerevan simply enter the metro station once you clear the barrier turn left at the top of the escalators and train arriving at the platform will take you central i made a mistake and to the right turn and ended up further in to the burbsnice but not where i was meant to meet friends once again the hotel is in the suburbs but the neighbours are friendly and hello as you pass in the street breakfast was simple but filling value for money,156,unknown
5,1/3/2014,Amir G,1 review,friends,   areg hotel  ,2014,Tuesday,iran,best hotel the best hotel in armaniaand the best hotel clerk emillia and nvard d reallyi always have Good luck respect for the staff and management of the collection hopefully soon come again to see itsgood luck,37,male
5,1/3/2014,mrztaran,1 review,business,   areg hotel  ,2014,Monday,iran,great hotel i was very nice hotel with good staff very nice breakfastfamily sphere quite good for families not single cause there is nothing entertainment for singles within the hotels area very beautiful garden between suites equipped by air conditions and refrigerator satellite and tv  very cleani spend 3 nights at the hotel in a family suite and it was very quiet nit noise and comfortablei recommend it for the couples and families not singles,75,unknown
4,1/3/2014,tirdadkia,35   Reviews,friends,   areg hotel  ,2014,Sunday,usa,nice stuff ready to help i  didnt book this hotel i booked musa ler hotel but due to some issues which we never realized they didnt accept us so our tour leader change our hotel to this one except the firs impression of the yerevan due to musa ler issue the hotel is a nice place 20 minutes walk to the central city and 3 minutes walk to the metro station the address is so easy to find as matter of fact that armenian english is not good even they speak persian better than english because the hotel is so close to the city train station you can find the hotel even if the taxi driver do not know the addressthe hotel is so basic but clean enough the stuff are so nice and ready to help services are clean and they keep the mattresses changing everyday,147,unknown
5,1/9/2013,Shant M,2   Reviews,couple,   areg hotel  ,2014,Sunday,lebanon,excellent service and value we went to yerevan to get married and stayed at areg hotel it was fantastic the staff were very helpful and friendly they even got us a cake excellent value for money as room services and cleanliness were great would definitely recommend areg for travelers will stay there for sure next time we are in yerevan,60,male
4,1/9/2013,WimRob,78   Reviews,family,   areg hotel  ,2014,Saturday,netherlands,good nice and welcome place this was our first and last stop during our trip through stunning armenia and nkr our room was nice had plenty of space and good furniture the staff was friendly and felt like family they are located not far from the metro and the neighborhood is quiet well we would return here for sure,59,unknown
5,1/1/2014,2320885,1 review,friends,   areg hotel  ,2014,Tuesday,usa,areg hotel this is a really nice safe and very cozy hotel which is conveniently located between the train station and republic square either way if one is not ventures enough to walk the cab ride would not cost you more than 2 anywhere in central part of yerevan the folks at the hotel are extremely helpful and carrying they will help you in anyway they can make sure to take advantage of the tours offered by the hotel they are very well organized and managed  in addition to cultural and historical perks armenia seems to be one of the few countries left which does not have dual pricing system they charge the same  tourist or local and the prices are extremely low  by the western standards  sadly still high for the armenians my son myself and even my hard to  please sister very much enjoyed our trip and we will be coming back to stay in areg for sure,160,male
5,1/9/2013,RobertLeunis,32   Reviews,solo,   areg hotel  ,2013,Sunday,belgium,Good hotel in yerevan clean and big rooms where you can find a good nights sleep view from the balcony includes the ararat they organise tours which are a bit expensive but well youre on a holiday breakfast is included be it a little bit plain but they do their utter best the hotel is run by 4 nice ladies wholl help you to get around town the main attraction is the location only a 10 minute walk from the train station so dont take a taxi wholl steal your last georgian laris from the hotel to republic square sets you back 100 dram by metro or 3000 by taxi would i stay here again yes but then again if youve seen armenia once youll never return in your life time anyway,132,unknown
5,1/9/2013,Jill S,1 review,solo,   areg hotel  ,2013,Wednesday,uae,perfect holiday i arrived from tbilisi by train 4am while my check in supposed to be 2 pm the location was perfect  i just walked to hotel from  the train station i asked to leave my luggage somewhere until the check in time  but they offered me a large triple room without any extra charge  though later they replaced me to a single room which i found larger than usual standards  wifi was ok the stuff was very nice you feel they are helping you with pleasure not because they have to which i appreciated  well  if anybody is interested if id go back there againmy answer is yes 100,110,female
